id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game_id,player_id,team_id
12681336,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,307,9
12681338,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,24,9
12681339,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,38017718,9
12681340,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,17896075,9
12681341,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,345,9
12681342,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,42097199,9
12681321,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,666818,22
12681322,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,666885,22
12681325,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,38017607,22
12681326,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858248,38017724,22
12681327,4,0,3,0.25,4,1,0.25,12,3,0.0,0,0,29,0,2,7,3,0,2,858248,54,9
12681328,3,1,7,0.4,5,2,0.333,6,2,1.0,4,4,27,1,3,10,8,0,1,858248,3547267,9
12686428,1,1,2,0.0,1,0,0.667,3,2,,0,0,19,0,3,4,2,0,0,858255,89,5
12686431,4,0,5,0.333,3,1,0.5,4,2,0.6,5,3,22,0,1,8,5,0,1,858255,45,5
12686432,3,0,9,0.5,2,1,0.375,8,3,0.0,0,0,26,0,1,7,9,1,2,858255,17895983,5
12686433,1,0,3,0.0,0,0,0.6,10,6,0.5,2,1,14,7,3,13,10,2,2,858255,137,5
12686434,1,0,0,0.0,1,0,0.0,1,0,0.0,0,0,06,0,0,0,0,0,0,858255,247,5
12686435,0,0,0,0.0,0,0,1.0,2,2,0.0,0,0,04,0,1,4,0,0,0,858255,17896116,5
12686436,0,0,1,1.0,3,3,1.0,3,3,0.5,4,2,10,0,1,11,1,0,0,858255,38017719,5
12686437,4,0,4,0.2,5,1,0.333,6,2,,0,0,25,0,1,5,4,0,0,858255,666956,5
12686438,3,0,3,1.0,2,2,0.625,8,5,0.625,8,5,28,3,1,17,6,2,2,858255,3547248,5
12686439,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858255,27,5
12686440,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858255,136,5
12686441,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858255,666604,5
12686442,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858255,17896099,5
12686443,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858255,4197388,5
12686444,0,0,1,0.25,8,2,0.308,13,4,,0,0,20,0,1,10,1,1,0,858255,666679,3
12686445,1,0,5,0.0,5,0,0.167,6,1,,0,0,25,1,4,2,6,0,2,858255,158,3
12686446,3,1,6,,0,0,0.429,7,3,0.5,2,1,22,0,0,7,6,2,0,858255,666508,3
12686447,2,0,6,0.4,5,2,0.4,10,4,1.0,3,3,27,0,3,13,6,0,2,858255,61,3
12686448,5,0,1,0.0,3,0,0.0,6,0,0.667,3,2,24,0,1,2,1,0,1,858255,130,3
12686449,3,0,0,0.5,6,3,0.727,11,8,,0,0,21,2,2,19,2,0,2,858255,114,3
12686451,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858255,319,3
12686452,3,0,5,0.0,4,0,0.0,4,0,1.0,2,2,24,0,5,2,5,1,2,858255,351,3
12686453,2,2,1,0.0,0,0,1.0,1,1,0.0,0,0,16,2,3,2,3,1,2,858255,17896038,3
12686454,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858255,432,3
12686455,2,0,1,0.5,6,3,0.4,15,6,0.778,9,7,30,0,0,22,1,0,0,858255,17896048,3
12690428,2,0,5,0.4,5,2,0.583,12,7,0.833,6,5,34,1,2,21,6,1,1,858258,17896026,22
12690429,0,1,5,0.0,2,0,0.5,12,6,0.778,9,7,33,1,2,19,6,1,2,858258,38017683,22
12690430,0,0,6,0.0,5,0,0.091,11,1,0.5,6,3,18,5,4,5,11,1,2,858258,85,22
12690431,1,0,3,0.143,7,1,0.125,8,1,1.0,2,2,26,3,0,5,6,0,0,858258,196,22
12690432,3,0,3,,0,0,0.429,14,6,1.0,6,6,31,2,3,18,5,1,4,858258,165,22
12690433,5,2,4,0.0,2,0,0.286,7,2,1.0,4,4,17,0,3,8,4,0,2,858258,3547251,22
12690434,1,0,5,1.0,1,1,0.667,3,2,1.0,1,1,9,1,1,6,6,0,0,858258,666442,22
12690435,0,3,1,,0,0,0.667,3,2,,0,0,22,1,1,4,2,0,1,858258,666451,22
12690436,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858258,229,22
12690437,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858258,666818,22
12690438,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,03,0,0,0,0,0,0,858258,666885,22
12690439,2,2,4,0.4,5,2,0.333,12,4,1.0,4,4,26,1,1,14,5,0,1,858258,17896073,22
12690440,2,0,4,0.0,2,0,0.5,8,4,,0,0,21,0,2,8,4,0,0,858258,462,22
12690441,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858258,38017607,22
12690442,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,00,0,0,0,0,0,0,858258,38017724,22
12690443,2,0,4,0.375,8,3,0.333,9,3,,0,0,31,0,3,9,4,3,1,858258,210,12
12690444,0,0,4,0.0,2,0,0.286,7,2,,0,0,20,1,4,4,5,0,0,858258,3547250,12
12690445,1,1,7,0.5,4,2,0.579,19,11,,0,0,28,1,4,24,8,1,0,858258,452,12
12690446,3,0,2,0.5,6,3,0.455,11,5,,0,0,24,0,2,13,2,2,0,858258,38017507,12
