,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team_id,visitor_team_id,home_team_abr,visitor_team_abr,home_team_abr.1,visitor_team_abr.1,home_team_abr.2,visitor_team_abr.2,home_team_abr.3,visitor_team_abr.3,home_team_abr,visitor_team_abr
123,857396,2022-10-23T00:00:00.000Z,106,4,False,2022,Final,Final,116,21,18,OKC,MIN,OKC,MIN,OKC,MIN,OKC,MIN,OKC,MIN
124,857394,2022-10-23T00:00:00.000Z,121,5,False,2022,Final,Final,122,19,29,NOP,UTA,NOP,UTA,NOP,UTA,NOP,UTA,NOP,UTA
125,857392,2022-10-23T00:00:00.000Z,109,4,False,2022,Final,Final,126,1,4,ATL,CHA,ATL,CHA,ATL,CHA,ATL,CHA,ATL,CHA
126,857397,2022-10-23T00:00:00.000Z,130,4,False,2022,Final,Final,125,10,26,GSW,SAC,GSW,SAC,GSW,SAC,GSW,SAC,GSW,SAC
127,857395,2022-10-23T00:00:00.000Z,95,4,False,2022,Final,Final,112,13,24,LAC,PHX,LAC,PHX,LAC,PHX,LAC,PHX,LAC,PHX
128,857393,2022-10-23T00:00:00.000Z,117,5,False,2022,Final,Final,107,6,30,CLE,WAS,CLE,WAS,CLE,WAS,CLE,WAS,CLE,WAS
129,857401,2022-10-24T00:00:00.000Z,106,4,False,2022,Final,Final,115,18,27,MIN,SAS,MIN,SAS,MIN,SAS,MIN,SAS,MIN,SAS
130,857398,2022-10-24T00:00:00.000Z,114,4,False,2022,Final,Final,108,11,29,HOU,UTA,HOU,UTA,HOU,UTA,HOU,UTA,HOU,UTA
131,857406,2022-10-25T00:00:00.000Z,108,4,False,2022,Final,Final,94,21,13,OKC,LAC,OKC,LAC,OKC,LAC,OKC,LAC,OKC,LAC
132,857399,2022-10-24T00:00:00.000Z,90,4,False,2022,Final,Final,98,16,28,MIA,TOR,MIA,TOR,MIA,TOR,MIA,TOR,MIA,TOR
133,857400,2022-10-24T00:00:00.000Z,115,4,False,2022,Final,Final,102,20,22,NYK,ORL,NYK,ORL,NYK,ORL,NYK,ORL,NYK,ORL
134,857403,2022-10-24T00:00:00.000Z,120,4,False,2022,Final,Final,106,23,12,PHI,IND,PHI,IND,PHI,IND,PHI,IND,PHI,IND
135,857409,2022-10-25T00:00:00.000Z,113,4,False,2022,Final,Final,111,19,7,NOP,DAL,NOP,DAL,NOP,DAL,NOP,DAL,NOP,DAL
136,857404,2022-10-24T00:00:00.000Z,134,4,False,2022,Final,Final,124,15,3,MEM,BKN,MEM,BKN,MEM,BKN,MEM,BKN,MEM,BKN
137,857408,2022-10-25T00:00:00.000Z,134,4,False,2022,Final,Final,105,24,10,PHX,GSW,PHX,GSW,PHX,GSW,PHX,GSW,PHX,GSW
138,857402,2022-10-24T00:00:00.000Z,120,4,False,2022,Final,Final,102,5,2,CHI,BOS,CHI,BOS,CHI,BOS,CHI,BOS,CHI,BOS
139,857415,2022-10-26T00:00:00.000Z,124,4,False,2022,Final,Final,109,5,12,CHI,IND,CHI,IND,CHI,IND,CHI,IND,CHI,IND
140,857405,2022-10-24T00:00:00.000Z,135,4,False,2022,Final,Final,110,25,8,POR,DEN,POR,DEN,POR,DEN,POR,DEN,POR,DEN
141,857413,2022-10-26T00:00:00.000Z,103,4,False,2022,Final,Final,92,6,22,CLE,ORL,CLE,ORL,CLE,ORL,CLE,ORL,CLE,ORL
142,857414,2022-10-26T00:00:00.000Z,134,5,False,2022,Final,Final,131,20,4,NYK,CHA,NYK,CHA,NYK,CHA,NYK,CHA,NYK,CHA
143,857407,2022-10-25T00:00:00.000Z,120,4,False,2022,Final,Final,99,30,9,WAS,DET,WAS,DET,WAS,DET,WAS,DET,WAS,DET
144,857411,2022-10-26T00:00:00.000Z,110,4,False,2022,Final,Final,99,8,14,DEN,LAL,DEN,LAL,DEN,LAL,DEN,LAL,DEN,LAL
145,857417,2022-10-26T00:00:00.000Z,110,4,False,2022,Final,Final,99,17,3,MIL,BKN,MIL,BKN,MIL,BKN,MIL,BKN,MIL,BKN
146,857412,2022-10-26T00:00:00.000Z,119,4,False,2022,Final,Final,109,28,23,TOR,PHI,TOR,PHI,TOR,PHI,TOR,PHI,TOR,PHI
147,857416,2022-10-26T00:00:00.000Z,134,4,False,2022,Final,Final,122,18,27,MIN,SAS,MIN,SAS,MIN,SAS,MIN,SAS,MIN,SAS
