,Unnamed: 0,id,date,home_team_score,period,postseason,season,visitor_team_score,home_team_id,visitor_team_id,visitor_team_name,visitor_team_name,home_team_name
72,72,857440,2022-10-29,111,5,False,2022,117,7,21,Oklahoma City Thunder,Oklahoma City Thunder,Dallas Mavericks
73,73,857429,2022-10-28,111,4,False,2022,102,18,14,Los Angeles Lakers,Los Angeles Lakers,Minnesota Timberwolves
74,74,857449,2022-10-30,107,4,False,2022,98,27,18,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs
75,75,857457,2022-11-01,116,4,False,2022,108,21,22,Orlando Magic,Orlando Magic,Oklahoma City Thunder
76,76,857488,2022-11-05,108,4,False,2022,94,17,21,Oklahoma City Thunder,Oklahoma City Thunder,Milwaukee Bucks
77,77,857463,2022-11-02,110,4,False,2022,107,16,26,Sacramento Kings,Sacramento Kings,Miami Heat
78,78,857477,2022-11-04,111,4,False,2022,110,7,28,Toronto Raptors,Toronto Raptors,Dallas Mavericks
79,79,857592,2022-11-19,119,4,False,2022,97,13,27,San Antonio Spurs,San Antonio Spurs,LA Clippers
80,80,857496,2022-11-06,102,4,False,2022,110,13,29,Utah Jazz,Utah Jazz,LA Clippers
81,81,857507,2022-11-07,112,4,False,2022,103,9,21,Oklahoma City Thunder,Oklahoma City Thunder,Detroit Pistons
82,82,857519,2022-11-09,117,4,False,2022,129,18,24,Phoenix Suns,Phoenix Suns,Minnesota Timberwolves
83,83,857572,2022-11-16,103,4,False,2022,106,8,20,New York Knicks,New York Knicks,Denver Nuggets
84,84,857581,2022-11-18,107,4,False,2022,108,5,22,Orlando Magic,Orlando Magic,Chicago Bulls
85,85,857605,2022-11-21,121,4,False,2022,107,5,2,Boston Celtics,Boston Celtics,Chicago Bulls
86,86,857595,2022-11-20,137,4,False,2022,129,26,9,Detroit Pistons,Detroit Pistons,Sacramento Kings
87,87,857622,2022-11-23,98,4,False,2022,112,28,3,Brooklyn Nets,Brooklyn Nets,Toronto Raptors
88,88,857660,2022-11-28,115,4,False,2022,116,14,12,Indiana Pacers,Indiana Pacers,Los Angeles Lakers
89,89,857629,2022-11-25,128,4,False,2022,117,12,3,Brooklyn Nets,Brooklyn Nets,Indiana Pacers
90,90,857665,2022-11-29,110,4,False,2022,140,9,20,New York Knicks,New York Knicks,Detroit Pistons
91,91,857669,2022-11-30,113,4,False,2022,85,6,23,Philadelphia 76ers,Philadelphia 76ers,Cleveland Cavaliers
92,92,857684,2022-12-02,99,4,False,2022,117,27,19,New Orleans Pelicans,New Orleans Pelicans,San Antonio Spurs
93,93,857702,2022-12-04,92,4,False,2022,103,3,2,Boston Celtics,Boston Celtics,Brooklyn Nets
94,94,857697,2022-12-03,120,4,False,2022,101,10,11,Houston Rockets,Houston Rockets,Golden State Warriors
95,95,857745,2022-12-10,110,4,False,2022,102,6,21,Oklahoma City Thunder,Oklahoma City Thunder,Cleveland Cavaliers
96,96,857719,2022-12-07,126,4,False,2022,113,28,14,Los Angeles Lakers,Los Angeles Lakers,Toronto Raptors
97,97,857735,2022-12-09,114,4,False,2022,103,15,9,Detroit Pistons,Detroit Pistons,Memphis Grizzlies
98,98,857758,2022-12-12,128,4,False,2022,103,15,1,Atlanta Hawks,Atlanta Hawks,Memphis Grizzlies
99,99,857749,2022-12-11,117,4,False,2022,124,9,14,Los Angeles Lakers,Los Angeles Lakers,Detroit Pistons
100,100,857369,2022-10-20,97,4,False,2022,103,14,13,LA Clippers,LA Clippers,Los Angeles Lakers
101,101,857370,2022-10-20,88,4,False,2022,90,23,17,Milwaukee Bucks,Milwaukee Bucks,Philadelphia 76ers
102,102,857381,2022-10-21,113,5,False,2022,111,25,24,Phoenix Suns,Phoenix Suns,Portland Trail Blazers
103,103,857374,2022-10-21,102,4,False,2022,100,30,5,Chicago Bulls,Chicago Bulls,Washington Wizards
104,104,857376,2022-10-21,122,4,False,2022,129,11,15,Memphis Grizzlies,Memphis Grizzlies,Houston Rockets
105,105,857373,2022-10-21,134,4,False,2022,137,12,27,San Antonio Spurs,San Antonio Spurs,Indiana Pacers
106,106,857379,2022-10-21,112,4,False,2022,124,4,19,New Orleans Pelicans,New Orleans Pelicans,Charlotte Hornets
107,107,857371,2022-10-21,109,4,False,2022,105,3,28,Toronto Raptors,Toronto Raptors,Brooklyn Nets
108,108,857380,2022-10-21,108,4,False,2022,98,1,22,Orlando Magic,Orlando Magic,Atlanta Hawks
109,109,857375,2022-10-21,104,4,False,2022,111,16,2,Boston Celtics,Boston Celtics,Miami Heat
